species_name,root_disease,foliar_disease,symptoms,references,,,
Phytophthora 'acacia',NA,NA,NA,,,,
Phytophthora 'aquatilis',1,1,"pathogenicity tests: pathogenic to rhododendron plants and caused root discoloration, pale leaves, wilting, tip necrosis and dieback; severe foliar blight ","Chuanxue Hong, Patricia A. Richardson, Wei Hao, Sita R. Ghimire, Ping Kong, Gary W. Moorman, John D. Lea-Cox & David S. Ross (2012) Phytophthora aquimorbida sp. nov. and Phytophthora taxon ‘aquatilis’ recovered from irrigation reservoirs and a stream in Virginia, USA, Mycologia, 104:5, 1097-1108",,,
Phytophthora 'castitis',NA,NA,NA,NA,,,
Phytophthora 'emanzi',NA,NA,NA,NA,,,
Phytophthora 'kelmania',NA,NA,NA,NA,,,
Phytophthora 'mekongensis',NA,NA,NA,NA,,,
Phytophthora 'ohioensis',NA,NA,associated with a declining mature white oak tree (Quercus alba)in Ohio.,"Balci, Y., Long, R.P., Mansfield, M., Balser, D. & MacDonald, W.L. (2010) Involvement of Phytophthora species in white oak (Quercus alba) decline in southern Ohio. Forest Pathology, 40, 430–442.",,,
Phytophthora 'paludosa',NA,NA,NA,NA,,,
Phytophthora 'parsley',NA,NA,NA,NA,,,
Phytophthora 'personii',NA,NA,NA,NA,,,
Phytophthora 'prodigiosa',NA,NA,NA,NA,,,
Phytophthora 'raspberry',NA,NA,NA,NA,,,
Phytophthora 'walnut',NA,NA,NA,NA,,,
Phytophthora acerina,1,0,"Collar rot, stem bleeding, crown dieback; collar rot and aerial bleeding cankers along the stems;","Ginetti, B., Moricca, S., Squires, J.N., Cooke, D.E.L., Ragazzi, A., and Jung, T. 2014. Phytophthora acerina sp. nov., a new species causing bleeding cankers and dieback of Acer pseudoplatanus trees in planted forests in northern Italy. Pl. Pathol. 63: 858-876.",,,
Phytophthora agathidicida,1,0,"Root and collar rot; yellowing  of  foliage,  canopy  thinning  and  occasional  tree  death, bleeding lesions on the lower trunk and main roots  ","Weir, B.S., Paderes, E.P., Anand, N., Uchida, J.Y., Pennycook, S.R., Bellgard, S.E., and Beever, R.E. 2015. A taxonomic revision of Phytophthora Clade 5 including two new species, Phytophthora agathidicida and P. cocois. Phytotaxa 205: 21-38",,,
Phytophthora alticola,1,0,collar and root rot;stem canker,"Maseko, B., Burgess, T. I. , Coutinho, T.A., and Wingfeld, M.J. 2007. Two new Phytophthora species from South African Eucalyptus plantations. Mycol. Res. 111: 1321-1338",,,
Phytophthora amaranthi,1,1,"Basal stem rot, root rot and leaf blight;water-soaked lesions on leaves","Ann, P.-J., Huang, J.-H., Tsai, J.-N., and Ko, W.-H. 2016. Morphological, molecular and pathological characterization of Phytophthora amaranthi sp. nov. from Amaranth in Taiwan. J. Phytopathol. 164: 94-101",,,
Phytophthora amnicola,1,0,stem lesions damage to the blackberry roots after flooding (in pathogenicity tests),"Aghighi, S., Burgess, T.I., Scott, J.K., Calver, M., and St. J. Hardy, G.E. 2016. Isolation and pathogenicity of Phytophthora species from declining Rubus anglocandicans. Pl. Pathol. 65: 451-461",,,
Phytophthora aquimorbida,1,1,"root discoloration, pale leaves, wilting, tip necrosis and dieback on rhododendron in lab tests","ong, C., Richardson, P.A., Hao, W., Ghimire, S.R., Kong, P., Moorman, G.W., Lea-Cox, J.D., and Ross, D.S. 2012. Phytophthora aquimorbida sp. nov. and Phytophthora taxon 'aquatilis' recovered from irrigation reservoirs and a stream in Virginia, USA. Mycologia 104: 1097-1108",,,
Phytophthora arenaria,1,0,root and collar rot,"Rea, A.J., Burgess, T.I., Hardy, G.E.St.J., Stukely, M.J.C., and Jung, T. 2011. Two novel and potentially endemic species of Phytophthora associated with episodic dieback of Kwongan vegetation in the south-west of Western Australia. Pl. Pathol. 60: 1055-1068",,,
Phytophthora asiatica,0,1,Leaf and stem blight,"Rahman, M.Z., Mukobata, H., Suga, H., and Kageyama, K. 2014. Phytophthora asiatica sp. nov., a new species causing leaf and stem blight of kudzu in Japan. Mycol. Progr. 13: 759-769",,,
Phytophthora asparagi,1,1,Spear and root rot; Basal leaf rot,"Saude, C., Hurtado-Gonzales, O.P., Lamour, K.H., and Hausbeck, M.K. 2008. Occurrence and characterization of a Phytophthora sp. pathogenic to asparagus (Asparagus officinalis) in Michigan. Phytopathology 98: 1075-1083; Cunnington JH, Alwis Sde, Pascoe IG, Symes P (2005) The 'asparagus' Phytophthora infecting members of the Agavaceae at the Royal Botanic Gardens, Melbourne. Australas Plant Path 34: 413–414",,,
Phytophthora attenuata,1,0,pathogenicity tests: significant root rot but the reductions of fine root weight and shoot weight were not significant,"Jung T, Jung MH, Scanu B, et al. Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan. Persoonia. 2016;38:100-135.",,,
Phytophthora austrocedri,1,0,"primarily attacks juniper roots, killing phloem and forming lesions which extend up into the lower stem","Green, S., Elliot, M., and Hendry, S.J. 2015. Phytophthora austrocedrae emerges as a serious threat to juniper (Juniperus communis) in Britain. Pl. Pathol. 64: 456-466; Green, S., MacAskill, G.A., Dun, H., Armstrong, A.C., and Henricot, B. 2016. First report of Phytophthora austrocedri infecting Nootka cypress in Britain. New Disease Reports 33: 21;

Greslebin, A.G., Hansen, E.M., and Sutton, W. 2007. Phytophthora austrocedrae sp. nov., a new species associated with Austrocedrus chilensis mortality in Patagonia (Argentina). Mycol. Res. 111: 308-316.
;
Mahdikhani, M., Matinfar, M., and Aghaalikhani, A. 2017. First report of Phytophthora austrocedri causing phloem lesions and bronzing on Cupressus sempervirens in northern Iran. ",,,
Phytophthora balyanboodja,NA,NA,no pathogenicity tests,"Burgess, T.I., Simamora, A.V., White, D., Williams, B., Schwager, M., Stukely, M.J.C., and St. J. Hardy, G.E. 2018. New species from Phytophthora clade 6a: evidence for recent radiation. Persoonia 41: 1-17",,,
Phytophthora bilorbang,1,0,Root rot,"Aghighi, S., St J. Hardy, G.E., Scott, J.K., and Burgess, T.I. 2012. Phytophthora bilorbang sp. nov., a new species associated with the decline of Rubus anglocandicans (European blackberry) in Western Australia. Eur. J. Pl. Pathol. 133: 841-855",,,
Phytophthora bishii,1,0,Root rot,"Abad, Z.G., Abad, J.A., Coffey, M.D., Oudemans, P.V., Man in 't Veld, W.A., Cunnington, J., and Louws, F.J. 2008. Phytophthora bisheria sp. nov., a new species identified in isolates from the Rosaceous raspberry, rose and strawberry in three continents. Mycologia 100: 99-110",,,
Phytophthora boehmeriae,1,1,"Brown rot of citrus fruit and root rot of Pinus species, cotton boll blight, basal rot of Chamaelauciun and gummosis on Acacia mearnsii, foliar blight on Capsicum annuum;Brown rot of citrus.  Also leaf blight, root rot, cotton boll blight and rot ","Erwin, D.C., and Ribeiro, O.K. 1996. Phytophthora Diseases Worldwide. APS Press, St. Paul, Minnesota, 562 pages; Chowdappa, P., Madhura, S., Kumar, B.J.N., Kumar, S.P.M. & Hema, K.R. (2014) Phytophthora boehmeriae Revealed as the Dominant Pathogen Responsible for Severe Foliar Blight of Capsicum annuum in South India. Plant Disease, 98, 90–98; Paplomatas, E.J., Elena, K., and Lascaris, D. 1995. First report of Phytophthora boehmeriae causing boll rot of cotton. Pl. Dis. 79: 860",,,
Phytophthora boodjera,1,0,"Damping-off disease of seedlings in Eucalypt spp.;Root necrosis, mortliaty decreases with age","Simamora, A.V., Stukely, M.J.C., Barber, P.A., St. J. Hardy, G.E., and Burgess, T.I. 2017. Age-related susceptibility of Eucalyptus species to Phytophthora boodjera. Pl. Pathol. 66(3): 501-512.; Simamora, A.V., Stukely, M.J.C., St J. Hardy, G.E., and Burgess, T.I. 2015. Phytophthora boodjera sp. nov., a damping-off pathogen in production nurseries and from urban and natural landscapes, with an update on the status of P. alticola. IMA Fungus 6(2): 319-335",,,
Phytophthora borealis,0,0,"not overtly pathogenic, it has not been associated with disease in adjacent riparian ecosystems (Hansen et al 2012)","Hansen, E.M., Reeser, P.W. , and Sutton, W. 2012. Phytophthora borealis and Phytophthora riparia, new species in Phytophthora ITS Clade 6. Mycologia 104: 1133-1142",,,
Phytophthora botryosa,0,1,"Leaf fall, pod rot, and black stripe of rubber","Stamps, D.J. 1985. Phytophthora botryosa. C.M.I. Descr. Pathog. Fungi Bact. 835: 1-2",,,
Phytophthora brassicae,0,1,Storage rot (see Erwin & Ribeiro as P. porri).,"Erwin, D.C., and Ribeiro, O.K. 1996. Phytophthora Diseases Worldwide. APS Press, St. Paul, Minnesota, 562 pages; Man in 't Veld, W.A., de Cock, A.W.A.M., Ilieva, E. , and Levesque, C.A. 2002. Gene flow analysis of Phytophthora porri reveals a new species: Phytophthora brassicae sp. nov. Eur. J. Pl. Pathol. 108: 51-62; ",,,
Phytophthora cactorum,1,1,"Damping off of seedlings, fruit rot, leaf and stem rot, collar and crown rot, stem canker, root rot","Waterhouse, G.M., and Waterston, J.M. 1966. Phytophthora cactorum. C.M.I. Descr. Pathog. Fungi Bact. 111: 1-2",,,
Phytophthora cajani,0,1,Stem rot and blight,"Erwin, D.C., and Ribeiro, O.K. 1996. Phytophthora Diseases Worldwide. APS Press, St. Paul, Minnesota, 562 pages",,,
Phytophthora cambivora,1,0,"Canker, crown and root rot; Many lateral roots have to be destroyed before infected trees show aboveground symptoms (CABI datasheet)","Erwin, D.C., and Ribeiro, O.K. 1996. Phytophthora Diseases Worldwide. APS Press, St. Paul, Minnesota, 562 pages",,,
Phytophthora capensis,0,0,isolated from roots of Curtesia dentate and Olea capensis but no symptoms reported,"Bezuidenhout, C.M., Denman, S., Kirk, S.A., Botha, W.J., Mostert, L., and McLeod, A. 2010. Phytophthora taxa associated with cultivated Agathosma, with emphasis on the P. citricola complex and P. capensis sp. nov. Persoonia 25: 32-49",,,
Phytophthora capsici,1,1,"Fruit, stem, and root rot. Also seedling damping-off, leaf wilt; can infect seedlings, vines, leaves, and fruit","Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA",,,
